display_name,type,lat,lon,alamat,provinsi,kota,zip,bank
"BANK MANDIRI, Jalan Terusan Jakarta, Antapani Kulon, Antapani, Bandung, Jawa Barat, 40291, Indonesia",bank,-6.9131158,107.6585605,Jalan Terusan Jakarta,Jawa Barat,Bandung,40291,BANK MANDIRI
"Bank Mandiri, Jalan Soekarno-Hatta, Karang Rejo, Balikpapan, Kalimantan Timur, 76125, Indonesia",bank,-1.2416579,116.837221,Jalan Soekarno-Hatta,Kalimantan Timur,Balikpapan,76125,BANK MANDIRI
"Bank Mandiri, Jalan Panglima Besar Sudirman, Nyomplong, Sukabumi, Jawa Barat, 43111, Indonesia",bank,-6.9211998,106.9225435,Jalan Panglima Besar Sudirman,Jawa Barat,Sukabumi,43111,BANK MANDIRI
"Bank Mandiri, Jalan Parakan, Pondok Benda, Pamulang, Tangerang Selatan, Banten, 15434, Indonesia",bank,-6.3435612,106.7118938,Jalan Parakan,Tangerang Selatan,Pamulang,15434,BANK MANDIRI
"Bank Mandiri, Jalan Gajahmada, Genteng, Banyuwangi, Jawa Timur, 68465, Indonesia",bank,-8.3642711,114.1468671,Jalan Gajahmada,Jawa Timur,Banyuwangi,68465,BANK MANDIRI
"Bank Mandiri, Jalan WR. Supratman, Kesiman Kertalangu, Denpasar Timur, Bali, 80237, Indonesia",bank,-8.6398931,115.2525967,Jalan WR. Supratman,Bali,Denpasar Timur,80237,BANK MANDIRI
"Mandiri, Jalan Abdul Haris Nasution, Cigending, Ujungberung, Bandung, Jawa Barat, 40614, Indonesia",bank,-6.9132852,107.695072,Jalan Abdul Haris Nasution,Jawa Barat,Bandung,40614,MANDIRI
"Bank Mandiri, Jalan MH Thamrin, Bone, Watampone, Sulawesi Selatan, Sulawesi, 92712, Indonesia",bank,-4.5390251,120.3303282,Jalan MH Thamrin,Sulawesi Selatan,Watampone,92712,BANK MANDIRI
"Bank Mandiri, Jalan Teuku Umar, Tanjungpinang Kota, Tanjungpinang, Kepulauan Riau, Sumatera, 29112, Indonesia",bank,0.9299299,104.4429408,Jalan Teuku Umar,Kepulauan Riau,Tanjungpinang,29112,BANK MANDIRI
"Bank Mandiri, Jalan Jenderal Sudirman, Ruko Kodim, Purwokerto, Banyumas, Jawa Tengah, 53114, Indonesia",bank,-7.4272981,109.242285,Jalan Jenderal Sudirman,Jawa Tengah,Banyumas,53114,BANK MANDIRI
"Bank Mandiri, Jalan Kantor, Cirebon, Jawa Barat, Jawa, 45118, Indonesia",bank,-6.718067,108.57006976243545,Jalan Kantor,Jawa,Jawa Barat,45118,BANK MANDIRI
"Mandiri, Jalan Abdul Haris Nasution, Cigending, Ujungberung, Bandung, Jawa Barat, 40614, Indonesia",bank,-6.9132852,107.695072,Jalan Abdul Haris Nasution,Jawa Barat,Bandung,40614,MANDIRI
